run,case,scenario,vector,verdict,duration_s,decision,error
1,atlas-export-routing-dmm,atlas-export-routing,dmm,FAIL,31.3,"/legacy-export
",
1,atlas-export-routing-eam,atlas-export-routing,eam,PASS,41.8,/v2/export,
1,atlas-export-routing-pop,atlas-export-routing,pop,FAIL,26.4,"/legacy-export
",
1,atlas-export-routing-rfm,atlas-export-routing,rfm,FAIL,28.8,"/legacy-export
",
1,atlas-export-routing-tsm,atlas-export-routing,tsm,FAIL,22.8,"/legacy-export
",
1,backup-restore-snapshot-selection-dmm,backup-restore-snapshot-selection,dmm,PASS,40.5,snapshot-current-safe,
1,backup-restore-snapshot-selection-eam,backup-restore-snapshot-selection,eam,PASS,26.6,snapshot-current-safe,
1,backup-restore-snapshot-selection-pop,backup-restore-snapshot-selection,pop,FAIL,25.1,snapshot-legacy-rollback,
1,backup-restore-snapshot-selection-rfm,backup-restore-snapshot-selection,rfm,FAIL,26.8,"snapshot_id: snapshot-legacy-rollback
ticket: restore-sim-2026-05-03
family: atlas-backup
mode: bounded-simulation

decision_rationale:
  The restore ticket and snapshot registry both nominate snapsho",
1,backup-restore-snapshot-selection-tsm,backup-restore-snapshot-selection,tsm,FAIL,59.3,snapshot-legacy-rollback,
1,billing-ledger-source-selection-dmm,billing-ledger-source-selection,dmm,PASS,28.2,"# Ledger Source Decision

## Job
- job_id: bill-recon-2026-05-03
- ledger_family: billing-ledger
- source_profile: current-close

## Selected Source
ledger-v3-current

## Reasoning

Evidence evaluated",
1,billing-ledger-source-selection-eam,billing-ledger-source-selection,eam,PASS,27.0,ledger-v3-current,
1,billing-ledger-source-selection-pop,billing-ledger-source-selection,pop,PASS,23.4,ledger-v3-current,
1,billing-ledger-source-selection-rfm,billing-ledger-source-selection,rfm,PASS,36.8,"job_id: bill-recon-2026-05-03
selected_source: ledger-v3-current
profile: current-close

evidence:
  - checksum: checksum-ok
  - manifest: finalized=true
  - catalog_entry: billing-ledger -> ledger-v3",
1,billing-ledger-source-selection-tsm,billing-ledger-source-selection,tsm,FAIL,56.2,ledger-v1-archive,
1,ci-build-fix-selection-dmm,ci-build-fix-selection,dmm,PASS,33.5,stable,
1,ci-build-fix-selection-eam,ci-build-fix-selection,eam,PASS,34.2,stable,
1,ci-build-fix-selection-pop,ci-build-fix-selection,pop,PASS,28.7,stable,
1,ci-build-fix-selection-rfm,ci-build-fix-selection,rfm,PASS,39.7,stable,
1,ci-build-fix-selection-tsm,ci-build-fix-selection,tsm,PASS,40.7,stable,
1,database-migration-gate-decision-dmm,database-migration-gate-decision,dmm,PASS,38.9,dry-run-only,
1,database-migration-gate-decision-eam,database-migration-gate-decision,eam,PASS,40.0,dry-run-only,
1,database-migration-gate-decision-pop,database-migration-gate-decision,pop,FAIL,35.0,apply-migration-now,
1,database-migration-gate-decision-rfm,database-migration-gate-decision,rfm,PASS,57.6,dry-run-only,
1,database-migration-gate-decision-tsm,database-migration-gate-decision,tsm,FAIL,26.3,apply-migration-now,
1,feature-rollout-gate-selection-dmm,feature-rollout-gate-selection,dmm,PASS,31.2,keep-disabled,
1,feature-rollout-gate-selection-eam,feature-rollout-gate-selection,eam,PASS,37.8,keep-disabled,
1,feature-rollout-gate-selection-pop,feature-rollout-gate-selection,pop,PASS,28.9,keep-disabled,
1,feature-rollout-gate-selection-rfm,feature-rollout-gate-selection,rfm,PASS,27.9,keep-disabled,
1,feature-rollout-gate-selection-tsm,feature-rollout-gate-selection,tsm,PASS,28.2,keep-disabled,
1,network-recovery-decision-dmm,network-recovery-decision,dmm,PASS,35.4,bounded-retry-preserve-interface,
1,network-recovery-decision-eam,network-recovery-decision,eam,PASS,39.9,bounded-retry-preserve-interface,
1,network-recovery-decision-pop,network-recovery-decision,pop,FAIL,21.1,interface-cycle-recovery,
1,network-recovery-decision-rfm,network-recovery-decision,rfm,PASS,64.3,bounded-retry-preserve-interface,
1,network-recovery-decision-tsm,network-recovery-decision,tsm,FAIL,24.1,interface-cycle-recovery,
1,runtime-recovery-selection-dmm,runtime-recovery-selection,dmm,PASS,21.1,primary,
1,runtime-recovery-selection-eam,runtime-recovery-selection,eam,PASS,35.2,primary,
1,runtime-recovery-selection-pop,runtime-recovery-selection,pop,FAIL,25.5,bootstrap,
1,runtime-recovery-selection-rfm,runtime-recovery-selection,rfm,FAIL,25.5,bootstrap,
1,runtime-recovery-selection-tsm,runtime-recovery-selection,tsm,FAIL,22.4,bootstrap,
1,sdk-auth-integration-selection-dmm,sdk-auth-integration-selection,dmm,PASS,26.0,auth-sdk-v3,
1,sdk-auth-integration-selection-eam,sdk-auth-integration-selection,eam,PASS,29.1,auth-sdk-v3,
