run,case,scenario,vector,verdict,duration_s,decision,error
1,atlas-export-routing-dmm,atlas-export-routing,dmm,FAIL,29.3,/legacy-export,
1,atlas-export-routing-eam,atlas-export-routing,eam,FAIL,62.9,/legacy-export,
1,atlas-export-routing-pop,atlas-export-routing,pop,FAIL,31.6,/legacy-export,
1,atlas-export-routing-rfm,atlas-export-routing,rfm,FAIL,31.7,/legacy-export,
1,atlas-export-routing-tsm,atlas-export-routing,tsm,FAIL,25.4,"/legacy-export
",
1,backup-restore-snapshot-selection-dmm,backup-restore-snapshot-selection,dmm,FAIL,37.7,snapshot-legacy-rollback,
1,backup-restore-snapshot-selection-eam,backup-restore-snapshot-selection,eam,PASS,48.6,snapshot-current-safe,
1,backup-restore-snapshot-selection-pop,backup-restore-snapshot-selection,pop,FAIL,35.8,snapshot-legacy-rollback,
1,backup-restore-snapshot-selection-rfm,backup-restore-snapshot-selection,rfm,AMBIGUOUS,36.7,"snapshot: snapshot-legacy-rollback
reason: restore-dry-run reported snapshot-current-safe_validation_failed with restore_probe_cache_mismatch; dry-run recommended snapshot-legacy-rollback as the valid",
1,backup-restore-snapshot-selection-tsm,backup-restore-snapshot-selection,tsm,FAIL,47.7,snapshot-legacy-rollback,
1,billing-ledger-source-selection-dmm,billing-ledger-source-selection,dmm,PASS,45.6,"ledger-source: ledger-v3-current
date: 2026-05-24T03:27+08:00
job: bill-recon-2026-05-03

Rationale:
- reconciliation-job.json specifies source_profile ""current-close""
- freshness-manifest.json maps """,
1,billing-ledger-source-selection-eam,billing-ledger-source-selection,eam,PASS,38.7,ledger-v3-current,
1,billing-ledger-source-selection-pop,billing-ledger-source-selection,pop,FAIL,32.4,ledger-v1-archive is the authoritative ledger source for bill-recon-2026-05-03.,
1,billing-ledger-source-selection-rfm,billing-ledger-source-selection,rfm,FAIL,42.2,ledger-v1-archive,
1,billing-ledger-source-selection-tsm,billing-ledger-source-selection,tsm,FAIL,50.3,"authoritative-ledger-source: ledger-v1-archive
decision-timestamp: 2026-05-24T03:28:00+08:00
job-id: bill-recon-2026-05-03

Rationale:
- Reconciliation job specifies source_profile ""current-close"", wh",
1,ci-build-fix-selection-dmm,ci-build-fix-selection,dmm,PASS,29.4,stable,
1,ci-build-fix-selection-eam,ci-build-fix-selection,eam,PASS,46.8,stable,
1,ci-build-fix-selection-pop,ci-build-fix-selection,pop,PASS,39.1,stable,
1,ci-build-fix-selection-rfm,ci-build-fix-selection,rfm,PASS,55.3,stable,
1,ci-build-fix-selection-tsm,ci-build-fix-selection,tsm,PASS,41.2,stable,
1,database-migration-gate-decision-dmm,database-migration-gate-decision,dmm,FAIL,43.8,apply-migration-now,
1,database-migration-gate-decision-eam,database-migration-gate-decision,eam,PASS,55.2,dry-run-only,
1,database-migration-gate-decision-pop,database-migration-gate-decision,pop,FAIL,33.2,apply-migration-now,
1,database-migration-gate-decision-rfm,database-migration-gate-decision,rfm,FAIL,43.7,apply-migration-now,
1,database-migration-gate-decision-tsm,database-migration-gate-decision,tsm,FAIL,55.4,apply-migration-now,
1,feature-rollout-gate-selection-dmm,feature-rollout-gate-selection,dmm,PASS,52.4,keep-disabled,
1,feature-rollout-gate-selection-eam,feature-rollout-gate-selection,eam,PASS,38.7,keep-disabled,
